key;name;file;file_alter_v;MS-50G;MS-60B;MS-70CDR;G1on;B1on;description;description rus;group name;group number;version
158;4VoiceSyn;4V_SYN.ZDL;;;MS-60B;;;B1on;This effect type adds synthesizer harmony components to single notes played on the bass. The harmony components are determined by the Mode and Scale parameters;Эффект добавляет синтезированные гармонии к отдельным нотам, сыгранным на басу. Компоненты гармонии определяются параметрами Mode и Scale;SFX;0x07;1.00
159;AutoPan;AUTOPAN.ZDL;;MS-50G;MS-60B;MS-70CDR;;B1on;This effect cyclically moves the panning position of the sound;Эффект циклически меняет положение звука в стерео-панораме;SFX;0x07;1.00
160;Ba Synth;B_SYNTH.ZDL;;;MS-60B;;;B1on;This effect produces the sound of a monophonic (single-note playing) bass synthesizer that detects the pitch of the input signal;Эффект производит звук монофонического (играющего одну ноту) басового синтезатора, определяет высоту звука из входного сигнала;SFX;0x07;1.00
161;BitCrush;BITCRUSH.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect creates a lo-fi sound;Эффект создает lo-fi звук;SFX;0x07;1.00
162;Bomber;BOMBER.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect produces an explosive sound when picking;Эффект производит взрывной звук во время извлечения ;SFX;0x07;1.00
163;Defret;DEFRET.ZDL;;;MS-60B;;;B1on;Turns the sound from any bass guitar into a fretless bass sound;Превращает звук любой бас гитары в безладовый бас;SFX;0x07;1.00
164;MonoSynth;MONOSYN.ZDL;;MS-50G;;MS-70CDR;;;This effect produces the sound of a monophonic (single-note playing) guitar synthesizer that detects the pitch of the input signal;Эффект производит звук монофонического (играющего одну ноту) гитарного синтезатора, определяет высоту звука из входного сигнала;SFX;0x07;1.00
165;Rt Closet;RTCLOSET.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;Simulates a rotary speaker;Эмуляция вращающихся динамиков;SFX;0x07;1.00
166;StdSyn;STDSYN.ZDL;;;MS-60B;;;B1on;ZOOM original bass synthesizer sound;ZOOM оригинальный басовый синтезатор;SFX;0x07;1.00
167;SynTlk;SYNTLK.ZDL;;;MS-60B;;;B1on;This effect produces a synthesizer sound similar to a talking modulator producing vowels;Эффект производит синтезированный звук, похожий на модулятор речи, производящий гласные;SFX;0x07;1.00
168;V-Syn;V_SYN.ZDL;;;MS-60B;;;B1on;This effect produces a vintage bass synthesizer sound;Эффект производит винтажный звук басового синтезатора;SFX;0x07;1.00
169;Z-Organ;Z_ORGAN.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect simulates an organ sound;Эффект эмулирует звучание органа;SFX;0x07;1.00
170;Z-Syn;Z_SYN.ZDL;;;MS-60B;;;B1on;This bass synthesizer sound adds analog synth fatness;Басовый синтезатор, добавляет жирности аналогового синтезатора;SFX;0x07;1.00
171;A-Pan DLY;APANDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This combines auto pan and delay to create the effect of the stereo image moving cyclically;Комбинация автопанера и дилея, создает эффект звучания, циклически перемещающегося в стерео-панораме;DELAY;0x08;1.00
172;AnalogDly;ANLGDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This analog delay simulation has a long delay with a maximum length of 4000 ms;Моделирует эффект аналогового дилея с максимальным временем задержки 4000 мс.;DELAY;0x08;1.00
173;CarbonDly;CRBNDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This analog delay sound is a model of the MXR Carbon Copy;Моделирует эффект аналогового дилея MXR Carbon Copy;DELAY;0x08;1.00
174;Delay;DELAY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This long delay has a maximum length of 4000 ms;Эффект c максимальным временем задержки 4000 мс.;DELAY;0x08;1.00
175;DriveEcho;DRV_ECHO.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This echo effect that can be driven is modeled on the LINE6 M9 TubeEcho;Дилей с возможностью перегрузки задержанного звука, моделирует эффект Line6 M9 TubeEcho;DELAY;0x08;1.00
176;DualDigiD;DUALDIGD.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect combines 2 delays and is based on the Eventide TimeFactor DigitalDelay;Комбинация двух дилеев, базирующихся на алгоритме TimeFactor DigitalDelay от Eventide;DELAY;0x08;1.00
177;DynaDelay;DYNADLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This dynamic delay adjusts the volume of the effect sound according to the input signal level;Динамический дилей, устанавливает громкость обработанного звука в зависимости от уровня входного сигнала;DELAY;0x08;1.00
178;FilterDly;FLTRDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect filters a delayed sound;Дилей с фильтром на повторах;DELAY;0x08;1.00
179;FLTR PPD;FLTERPPD.ZDL;;MS-50G;MS-60B;MS-70CDR;;;Based on the Eventide TimeFactor FilterPong, this effect combines filter and delay effects;Эффект, объединяющий фильтр и дилей, создан на базе TimeFactor FilterPong от Eventide;DELAY;0x08;1.00
180;ICE Delay;ICEDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;Based on the strymon TIMELINE ICE mode, this effect combines pitch shifting and delay;Дилей создан на базе эффекта Strymon TIMELINE в режиме ICE и объединяет эффекты дилея и питч-шифтера;DELAY;0x08;1.00
181;LO-FI Dly;LOFIDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This delay, which is based on the LO-FI mode of the strymon TIMELINE, allows you to degrade the sound quality using the bit rate and sampling rate parameters;Дилей, создан на базе эффекта Strymon TIMELINE в режиме LO-FI и позволяет вам понижать качество звучания с помощью параметров разрядности (bit rate) и дискретизации (sampling rate);DELAY;0x08;1.00
182;ModDelay;MODDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This delay effect allows the use of modulation;Эффект дилея с возможностью модуляции;DELAY;0x08;1.00
183;ModDelay2;MODDLY2.ZDL;;;MS-60B;MS-70CDR;;B1on;You can adjust the depth of this modulation delay effect;Вы можете регулировать глубину модуляции этого эффекта;DELAY;0x08;1.00
184;MultiTapD;MLTTPDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect produces several delay sounds with different delay times;Эффект нескольких дилеев с различным временем задержки;DELAY;0x08;1.00
185;PhaseDly;PHASEDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect applies a phaser to a delayed sound;Дилей с фэйзером на повторах;DELAY;0x08;1.00
186;PitchDly;PITCHDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect applies pitch shift to a delayed sound;Дилей с изменением высоты повторов;DELAY;0x08;1.00
187;ReverseDL;RVRSDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This reverse delay is a long delay with a maximum length of 2000 ms;Эффект реверсивного дилея с максимальным временем задержки 2000 мс.;DELAY;0x08;1.00
188;SlapBackD;SLAPBKD.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This delay, which features a short delay time that is good for muted rhythm playing and rockabilly, is modeled on a tc electronic FLASHBACK set for SLAP delay;Дилей с коротким временем задержки, создан на базе tc electronics FLASHBACK в режиме SLAP и пригодится для исполнения рокабилли или приглушенного ритмического аккомпанемента;DELAY;0x08;1.00
189;SlwAtkDly;SLWATKDL.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect, which gently brings on the delay, is modeled on the LINE6 M9 Auto-Volume Echo;Дилей с плавной атакой задержанного звука, создан на базе эффекта Line6 M9 Auto-Volume Echo;DELAY;0x08;1.00
190;SmoothDly;SMS_DLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This wide delay is modeled on the BOSS DD-20 in SMOOTH mode;Размашистый дилей, создан на базе эффекта BOSS DD-20 в режиме SMOOTH;DELAY;0x08;1.00
191;StereoDly;STDELAY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This stereo delay allows the left and right delay times to be set separately;Стерео-дилей, позволяет выставить раздельное время задержки для правого и левого каналов;DELAY;0x08;1.00
192;StompDly;STOMPDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;By turning the feedback up on this stomp-style delay, you can make it self-oscillate;Увеличивая уровень обратной связи этого стомп-дилея, вы можете добиться его самовозбуждения;DELAY;0x08;1.00
193;TapeEcho;TAPEECHO.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;"This effect simulates a tape echo. Changing the ""Time"" parameter changes the pitch of the echoes";Моделирует эффект ленточного дилея. Изменение параметра «Time» приводит к сдвигу звучащих повторов по высоте;DELAY;0x08;1.00
194;TapeEcho3;TAPEECH3.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This tape echo effect models the MAESTRO ECHOPLEX EP-3;Моделирует эффект ленточного дилея MAESTRO ECHOPLEX EP-3;DELAY;0x08;1.00
195;TremDelay;TREMDLY.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect, which is based on the strymon TIMELINE TREM mode, adds a tremolo to the delay sound;Дилей, создан на базе эффекта Strymon TIMELINE в режиме TERM и добавляет тремоло к эффекту дилея;DELAY;0x08;1.00
196;TrgHldDly;TGHLDDLY.ZDL;;MS-50G;;MS-70CDR;;B1on;This delay samples and holds using picking as the trigger;Дилей семплирует и воспроизводит повторяющийся звук, используя входной сигнал в качестве триггера;DELAY;0x08;1.00
197;Air;AIR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect reproduces the ambience of a room, to create spatial depth;Ревербератор воспроизводит окружающую акустику комнаты, создавая пространственную глубину;REVERB;0x09;1.00
198;Ambience;AMBIENCE.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect adds a natural ambience (air) to the sound;Ревербератор, добавляющий звучанию натуральной, воздушной атмосферы;REVERB;0x09;1.00
199;Arena;ARENA.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This reverb effect simulates the acoustics of a large enclosure such as a sports arena;Ревербератор, эмулирующий акустику открытого пространства, например, стадиона;REVERB;0x09;1.00
200;Cave;CAVE.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect simulates the reverberations of a cave;Ревербератор, эмулирующий акустику пещеры;REVERB;0x09;1.00
201;Chamber;CHAMBER.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect simulates the reverberations of a chamber-sized room;Ревербератор, эмулирующий акустику большой комнаты;REVERB;0x09;1.00
202;Church;CHURCH.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect simulates the reverberations of a church;Ревербератор, эмулирующий акустику церкви;REVERB;0x09;1.00
203;DualRev;DUAL_REV.ZDL;;MS-50G;;MS-70CDR;;;Based on the Eventide SPACE DualVerb algorithm, this effect combines 2 reverbs;Комбинированный двойной ревербератор, создан на базе алгоритма DualVerb эффекта Eventide SPACE;REVERB;0x09;1.00
204;DynaRev;DYNAREV.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This reverb, which is modeled on the tc electronic NOVA REVERB, changes volume according to the dynamics of the input sound;Ревербератор, созданный на базе эффекта Strymon TIMELINE в режиме Shimmer, этот эффект добавляет к реверберации питч-шифтер и дилей;REVERB;0x09;1.00
205;EarlyRef;EARLYREF.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect reproduces only the early reflections of reverb;Эффект воспроизводит только ранние отражения реверберации;REVERB;0x09;1.00
206;Echo;ECHO.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect can generate gorgeous echoes;Ревербератор, создает эффект роскошного эха;REVERB;0x09;1.00
207;GateRev;GATE_REV.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This gate reverb, which is suited to percussive playing, is modeled on the DigiTech RV-7 (Lexicon) Gated setting;Гейтированный ревербератор, подходящий для перкусионной игры, создан на базе эффекта DigiTech RV-7 (Lexicon) в режиме Gated;REVERB;0x09;1.00
208;Hall;HALL.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This reverb effect simulates the acoustics of a concert hall;Ревербератор, эмулирующий акустику концертного зала ;REVERB;0x09;1.00
209;HD Hall;HDHALL.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This is a dense hall reverb;Ревербератор, эмулирующий акустику заполненного  концертного зала ;REVERB;0x09;1.00
210;HD Reverb;HD_REV.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This is a high-definition reverb;Ревербератор с высокой разрешающей способностью;REVERB;0x09;1.00
211;HolyFLERB;HolyFLRB.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This effect combines reverb and flanger in a model of an Electro-Harmonix Holy Grail set to FLERB;Ревербератор, совмещенный с флэнжером, создан на базе эффекта Electro-Harmonix Holy Grail в режиме FLERB;REVERB;0x09;1.00
212;LOFI Rev;LOFI_REV.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This rough in-your-face reverb is modeled on the LOFI setting of the tc electronic HALL OF FAME;Агрессивный ревербератор, создан на базе эффекта tc electronics HALL OF FAME в режиме LOFI;REVERB;0x09;1.00
